column row elev pH Ca
1 1 578.295 5.8 3.6
1 2 578.46 5.9 3.4
1 3 578.491 5.9 3.7
1 4 578.699 5.8 3.7
1 5 578.749 5.8 4.2
1 6 578.726 6.1 4.1
1 7 578.785 6.1 3.9
1 8 578.831 5.9 3.8
1 9 578.918 5.9 3.9
1 10 579.065 5.9 4.2
1 11 579.066 6.1 4.2
1 12 579.14 6.1 4.1
1 13 579.13 6 3.9
1 14 579.21 5.9 3.8
1 15 579.23 5.9 3.5
1 16 579.272 5.7 3.5
1 17 579.298 5.8 3.4
1 18 579.341 5.7 3.6
1 19 579.41 5.9 3.3
1 20 579.465 5.8 3.3
1 21 579.545 5.7 2.9
1 22 579.595 5.7 2.9
1 23 579.636 5.7 3.4
1 24 579.709 5.8 3.3
1 25 579.765 5.7 3.3
2 1 578.61 5.7 3.3
2 2 578.669 5.9 3.3
2 3 578.77 5.8 3.3
2 4 578.91 5.8 3.3
2 5 579.02 5.9 3.6
2 6 579.05 5.9 3.8
2 7 579.105 6 3.9
2 8 579.125 5.7 3.7
2 9 579.209 5.9 3.8
2 10 579.333 6 3.9
2 11 579.385 6.1 3.8
2 12 579.409 6.1 4.2
2 13 579.483 6.2 4.3
2 14 579.497 6.1 4.3
2 15 579.529 6.1 3.9
2 16 579.518 6 3.4
2 17 579.525 5.9 3.3
2 18 579.617 5.9 3.1
2 19 579.672 5.8 3.2
2 20 579.735 5.7 3
2 21 579.775 5.7 3.1
2 22 579.839 5.6 3
2 23 579.85 5.7 3.3
2 24 579.89 5.7 3.5
2 25 579.91 5.7 3.3
3 1 578.929 5.7 2.8
3 2 578.965 5.7 3.1
3 3 579.08 5.7 3.1
3 4 579.204 5.8 3.2
3 5 579.238 5.9 3.4
3 6 579.281 5.9 3.7
3 7 579.279 6 3.7
3 8 579.334 5.8 3.7
3 9 579.46 5.7 3.4
3 10 579.64 5.9 3.6
3 11 579.635 5.9 3.6
3 12 579.701 6 3.8
3 13 579.704 6.4 3.8
3 14 579.724 5.9 4
3 15 579.751 6.1 3.8
3 16 579.792 6.2 4.1
3 17 579.749 5.9 3.4
3 18 579.812 5.9 3.2
3 19 579.865 5.9 2.8
3 20 579.898 5.8 2.9
3 21 579.931 5.8 2.8
3 22 580.008 5.9 3.1
3 23 580.017 5.9 3.1
3 24 580.03 5.9 3.1
3 25 579.995 5.8 3
4 1 579.211 5.7 3
4 2 579.281 5.9 3.1
4 3 579.315 5.9 3.3
4 4 579.399 6 3.4
4 5 579.491 6 3.3
4 6 579.546 6.2 3.7
4 7 579.55 6.2 4
4 8 579.603 5.7 3.8
4 9 579.743 6.1 3.5
4 10 579.775 6.1 3.6
4 11 579.815 5.9 3.5
4 12 579.826 6 3.5
4 13 579.912 6.1 3.6
4 14 579.88 6.1 3.7
4 15 579.94 6.1 3.7
4 16 579.87 6 3.7
4 17 579.875 5.9 3.7
4 18 579.947 5.8 3.6
4 19 580.007 5.9 3.6
4 20 580.04 5.9 3.1
4 21 580.053 5.9 3.3
4 22 580.059 5.8 2.8
4 23 580.056 5.8 3
4 24 580.05 5.9 3.1
4 25 580.096 5.9 3.2
5 1 579.495 5.9 3.1
5 2 579.545 5.8 3.3
5 3 579.511 5.9 3.2
5 4 579.616 5.9 3.2
5 5 579.709 5.9 3.3
5 6 579.775 6 3.5
5 7 579.837 6.2 4.3
5 8 579.857 6.1 4.3
5 9 579.954 6.1 4
5 10 580.025 5.9 3.6
5 11 580.048 5.9 3.7
5 12 580.061 5.9 3.4
5 13 580.062 6 3.4
5 14 580.093 6.1 3.8
5 15 580.105 6.2 3.7
5 16 580.114 6.1 3.8
5 17 580.111 6 4
5 18 580.155 5.9 4
5 19 580.177 6.1 3.7
5 20 580.2 6 3.5
5 21 580.2 5.9 3
5 22 580.18 5.9 3.1
5 23 580.219 5.7 3.4
5 24 580.23 5.8 3.6
5 25 580.23 5.6 3.7
6 1 579.733 5.8 3
6 2 579.788 5.8 2.9
6 3 579.75 5.7 2.7
6 4 579.89 5.7 2.8
6 5 579.954 5.6 2.7
6 6 579.98 5.7 3
6 7 580.018 6 3.4
6 8 580.041 5.8 3.3
6 9 580.053 5.6 3.2
6 10 580.098 5.6 3.4
6 11 580.123 5.6 3.1
6 12 580.152 5.7 3.1
6 13 580.148 5.6 2.9
6 14 580.187 5.7 3.6
6 15 580.2 5.7 3.3
6 16 580.172 5.8 3.3
6 17 580.189 5.8 3.3
6 18 580.168 5.8 3.6
6 19 580.22 5.8 3.7
6 20 580.2 5.8 3.5
6 21 580.205 5.8 3.2
6 22 580.188 5.7 3.2
6 23 580.199 5.6 3.1
6 24 580.218 5.7 3
6 25 580.22 5.6 3
7 1 579.939 5.6 2.7
7 2 579.969 5.5 2.5
7 3 579.986 5.4 2.7
7 4 580.07 5.4 2.4
7 5 580.16 5.4 2.6
7 6 580.21 5.5 2.7
7 7 580.213 5.6 3
7 8 580.198 5.5 3.1
7 9 580.188 5.7 3
7 10 580.172 5.5 2.8
7 11 580.147 5.4 2.9
7 12 580.165 5.4 2.9
7 13 580.177 5.5 2.8
7 14 580.218 5.6 3
7 15 580.199 5.8 3.4
7 16 580.196 5.8 3.1
7 17 580.196 5.7 3
7 18 580.165 5.9 3.4
7 19 580.149 5.7 3.4
7 20 580.184 6 3.5
7 21 580.17 5.9 3.4
7 22 580.159 5.7 3.1
7 23 580.119 5.6 3.2
7 24 580.115 5.6 2.9
7 25 580.151 5.6 3
8 1 580.077 5.5 2.4
8 2 580.11 5.4 2.4
8 3 580.095 5.4 2.3
8 4 580.188 5.4 2.3
8 5 580.289 5.5 2.5
8 6 580.26 5.5 3
8 7 580.222 5.7 3.3
8 8 580.184 5.5 3
8 9 580.166 5.4 2.6
8 10 580.14 5.2 2.5
8 11 580.14 5.3 2.7
8 12 580.155 5.4 2.8
8 13 580.18 5.4 2.8
8 14 580.246 5.5 2.9
8 15 580.212 5.6 2.9
8 16 580.197 5.5 3
8 17 580.172 5.6 3.1
8 18 580.131 5.5 2.9
8 19 580.112 5.6 3.1
8 20 580.113 5.8 3.3
8 21 580.118 5.6 3.2
8 22 580.129 5.7 3.2
8 23 580.118 5.7 3
8 24 580.113 5.7 3.2
8 25 580.076 5.5 2.9
9 1 580.096 5.3 2.2
9 2 580.15 5.4 2.2
9 3 580.19 5.4 2.4
9 4 580.295 5.8 2.7
9 5 580.315 5.9 2.9
9 6 580.305 5.8 3.1
9 7 580.231 5.9 3.1
