species,water,biomass
1,50,37.65
1,50,48.85
1,50,38.85
1,50,36.91
1,150,74.35
1,150,63.65
1,150,56.95
1,150,60.5
1,250,79.25
1,250,66.55
1,250,66.45
1,250,71.76
1,350,91.85
1,350,82.25
1,350,71.35
1,350,95.67
1,450,108.35
1,450,80.55
1,450,112.55
1,450,113.95
1,550,122.75
1,550,142.35
1,550,156.95
1,550,124.41
1,650,122.45
1,650,96.15
1,650,131.85
1,650,132.99
2,50,50.45
2,50,28.35
2,50,35.25
2,50,23.93
2,150,61.85
2,150,55.75
2,150,49.35
2,150,62.51
2,250,80.25
2,250,97.85
2,250,69.05
2,250,71.26
2,350,114.05
2,350,110.95
2,350,96.25
2,350,59.14
2,450,111.55
2,450,120.15
2,450,115.75
2,450,79.8
2,550,110.65
2,550,118.25
2,550,118.65
2,550,65.17
2,650,172.65
2,650,100.65
2,650,96.05
2,650,109.15
3,50,24.65
3,50,27.15
3,50,34.35
3,50,18.83
3,150,23.45
3,150,35.55
3,150,46.25
3,150,22.21
3,250,34.75
3,250,52.15
3,250,25.75
3,250,32.3
3,350,77.05
3,350,56.75
3,350,59.55
3,350,65.85
3,450,68.35
3,450,66.35
3,450,62.15
3,450,62.11
3,550,75.05
3,550,67.65
3,550,63.25
3,550,91.19
3,650,65.45
3,650,67.55
3,650,76.55
3,650,59.48
4,50,20.55
4,50,14.35
4,50,17.95
4,50,9.27
4,150,18.55
4,150,24.95
4,150,23.55
4,150,26.11
4,250,33.85
4,250,43.95
4,250,38.05
4,250,32.35
4,350,28.65
4,350,20.95
4,350,41.65
4,350,46.31
4,450,51.95
4,450,40.35
4,450,52.65
4,450,49.2
4,550,43.15
4,550,68.35
4,550,65.65
4,550,67.63
4,650,28.95
4,650,34.95
4,650,78.85
4,650,71.65
